"Sample","Mutation_count_in_fitting","Tail","Tail_power","Tail_mutcount_observed","Tail_mutcount_predicted","Cluster_count","Cluster_mutcount_observed_1","Cluster_mutcount_predicted_1","Cluster_frequency_1","Cluster_mutcount_observed_2","Cluster_mutcount_predicted_2","Cluster_frequency_2","Cluster_mutcount_observed_3","Cluster_mutcount_predicted_3","Cluster_frequency_3","Cluster_mutcount_observed_4","Cluster_mutcount_predicted_4","Cluster_frequency_4","Cluster_mutcount_observed_5","Cluster_mutcount_predicted_5","Cluster_frequency_5"
"003819bc-c415-4e76-887c-931d60ed39e7",75,TRUE,2.1,1.38624609527108e-06,3.43424057422245e-07,2,55.5782070848557,56.618443802952,0.38,19.4217915288982,40.9847934552887,0.115,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0040b1b6-b07a-4b6e-90ef-133523eaf412",5211,TRUE,0.53,611.306922474153,3.56925784157881,1,4599.69307752585,5446.6896161689,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"00508f2b-36bf-44fc-b66b-97e1f3e40bfa",1699,TRUE,2.18,321.303306371316,144.49150805979,2,1050.98647208972,1051.7088086764,0.46,326.710221538964,327.442506476434,0.265,NA,NA,NA,NA,NA,NA,NA,NA,NA
"005794f1-5a87-45b5-9811-83ddf6924568",5604,TRUE,1.33,786.374710865327,26.4290335604726,1,4817.62528913467,4847.3681811823,0.295,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"005e85a3-3571-462d-8dc9-2babfc7ace21",995,TRUE,2.18,3.4895328273372,4.81501885040992,2,586.009203274832,614.788488781762,0.22,405.501263897831,964.973687558568,0.09,NA,NA,NA,NA,NA,NA,NA,NA,NA
"008aef39-0c97-48ce-9dfd-f12d67116c59",3253,TRUE,1.9,522.828098865942,161.193134997389,1,2730.17190113406,2733.56674263803,0.355,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"008bad10-d41b-4bbb-86fa-9976ecea46b1",2013,TRUE,2.62,466.809548665547,3552.41402201641,1,1546.19045133445,1619.39878605145,0.165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"00b9d0e6-69dc-4345-bffd-ce32880c8eef",3965,TRUE,0.52,158.78822760249,2.93655000829789,1,3806.21177239751,3847.8133723748,0.465,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"00c27940-c623-11e3-bf01-24c6515278c0",12181,TRUE,0.51,630.41952084553,11.1513422694596,1,11550.5804791545,12122.9254049791,0.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0168a2a6-c3af-4d58-a51c-d33f0fc7876d",6397,TRUE,1.22,83.7865801630107,6.06724876336207,2,6268.12604775856,6577.97884309339,0.23,45.0873720784302,4310.25199994179,0.025,NA,NA,NA,NA,NA,NA,NA,NA,NA
