"Simulation","Mutation_count_in_fitting","Tail","Tail_power","Tail_pareto_shape","Tail_pareto_scale","Tail_mutcount_observed","Cluster_count","Cluster_mutcount_observed_1","Cluster_frequency_1","Cluster_beta_a_1","Cluster_beta_b_1","Cluster_mutcount_observed_2","Cluster_frequency_2","Cluster_beta_a_2","Cluster_beta_b_2","Cluster_mutcount_observed_3","Cluster_frequency_3","Cluster_beta_a_3","Cluster_beta_b_3"
1,17148,FALSE,NA,NA,NA,0,2,4473,0.210404966213343,1.22931921579921,4.61331481477175,12675,0.458166592869286,17.9220101558532,21.1947880454646,NA,NA,NA,NA
2,12810,FALSE,NA,NA,NA,0,1,12810,0.114810466700346,6.70434799639767,51.6905718143189,NA,NA,NA,NA,NA,NA,NA,NA
3,26220,FALSE,NA,NA,NA,0,2,10248,0.136598402290778,2.56076506173208,16.1859041436731,15972,0.46186571144034,16.4592848617093,19.1772312381341,NA,NA,NA,NA
4,19445,FALSE,NA,NA,NA,0,2,13599,0.46037632097524,19.8112350463691,23.2214626484252,5846,0.19489124457647,0.962560280717628,3.97640084506011,NA,NA,NA,NA
5,22205,FALSE,NA,NA,NA,0,2,6735,0.110294384482753,3.20832197586324,25.8803935640012,15470,0.477067761849044,16.7821647614012,18.3955732948364,NA,NA,NA,NA
6,19637,FALSE,NA,NA,NA,0,2,13867,0.429183156623829,13.1935172230324,17.5474776632051,5770,0.126286387595787,5.63398118919979,38.9787541693636,NA,NA,NA,NA
7,13938,FALSE,NA,NA,NA,0,2,879,0.0655199025246824,4.14491256518907,59.1169728386791,13059,0.201722906387536,11.970989566253,47.3727398129736,NA,NA,NA,NA
8,25974,FALSE,NA,NA,NA,0,2,10838,0.0715551055963953,2.6744484517481,34.7016189784819,15136,0.312324294607152,19.6391527158776,43.2414910732331,NA,NA,NA,NA
9,17417,FALSE,NA,NA,NA,0,2,4368,0.115232413833397,2.81249009310869,21.5946189793002,13049,0.458558363668698,15.6985236165265,18.5359923367545,NA,NA,NA,NA
10,23739,FALSE,NA,NA,NA,0,2,7032,0.0981788513585853,5.30257532792724,48.7067683805287,16707,0.413856258584158,12.6060931700261,17.8539830244303,NA,NA,NA,NA
11,26635,FALSE,NA,NA,NA,0,2,10456,0.0688855265736443,5.18929537022636,70.142862607525,16179,0.232173647386324,11.9710078374493,39.5895718071913,NA,NA,NA,NA
12,24136,FALSE,NA,NA,NA,0,2,14034,0.345717075586664,22.1642935202572,41.9467819383258,10102,0.117158601081334,1.74482672144309,13.1480339421269,NA,NA,NA,NA
13,21317,FALSE,NA,NA,NA,0,2,5111,0.0883316013141213,4.0848381364836,42.1595192136935,16206,0.374449132295753,11.8699085353575,19.8297470696185,NA,NA,NA,NA
14,13852,FALSE,NA,NA,NA,0,1,13852,0.131417732095922,6.6028935205695,43.6406574467385,NA,NA,NA,NA,NA,NA,NA,NA
15,24452,FALSE,NA,NA,NA,0,2,17595,0.210970808599338,9.39670134868471,35.1435903204358,6857,0.0564115648888755,5.78879197468626,96.8283218403539,NA,NA,NA,NA
16,12757,FALSE,NA,NA,NA,0,1,12757,0.133993656293052,6.63718032264978,42.8963610872052,NA,NA,NA,NA,NA,NA,NA,NA
