"Simulation","Mutation_count_in_fitting","Tail","Tail_power","Tail_pareto_shape","Tail_pareto_scale","Tail_mutcount_observed","Cluster_count","Cluster_mutcount_observed_1","Cluster_frequency_1","Cluster_beta_a_1","Cluster_beta_b_1","Cluster_mutcount_observed_2","Cluster_frequency_2","Cluster_beta_a_2","Cluster_beta_b_2","Cluster_mutcount_observed_3","Cluster_frequency_3","Cluster_beta_a_3","Cluster_beta_b_3"
17,17058,FALSE,NA,NA,NA,0,1,17058,0.0928905902914652,5.686070691296,55.526487797725,NA,NA,NA,NA,NA,NA,NA,NA
18,20248,FALSE,NA,NA,NA,0,2,13286,0.414948585096946,23.8701429105857,33.6554006576828,6962,0.0978815589267202,1.83121569764397,16.8772695137014,NA,NA,NA,NA
19,19248,FALSE,NA,NA,NA,0,2,12152,0.482975160955318,16.9000876440525,18.0915413470209,7096,0.22546941313665,1.11798547242714,3.84049406976055,NA,NA,NA,NA
20,21827,FALSE,NA,NA,NA,0,2,7689,0.0537448587374399,5.5069492115101,96.9577207286088,14138,0.167561984318729,12.7192472833166,63.1884673157338,NA,NA,NA,NA
21,18052,FALSE,NA,NA,NA,0,2,13989,0.455710222095812,11.0855053870972,13.2402719371746,4063,0.117772520332204,2.63612194501855,19.7470446678957,NA,NA,NA,NA
22,20634,FALSE,NA,NA,NA,0,2,14357,0.254221424320192,10.0075892074657,29.3580513329678,6277,0.090189974129644,7.8770868289035,79.4617432896255,NA,NA,NA,NA
23,21545,FALSE,NA,NA,NA,0,2,15525,0.322626406367153,10.6752982265228,22.4134323170464,6020,0.0986196500252063,8.23162971725705,75.2368242384518,NA,NA,NA,NA
24,27298,FALSE,NA,NA,NA,0,2,13690,0.105116625714451,3.7191751466433,31.6622416498436,13608,0.480741861427783,17.612662423961,19.0237610646284,NA,NA,NA,NA
25,18158,FALSE,NA,NA,NA,0,1,18158,0.16464265313446,4.566908458696,23.1713985459068,NA,NA,NA,NA,NA,NA,NA,NA
26,17093,FALSE,NA,NA,NA,0,1,17093,0.141006202469122,4.35075293079768,26.5042935466821,NA,NA,NA,NA,NA,NA,NA,NA
27,20334,FALSE,NA,NA,NA,0,1,20334,0.218942488362221,3.26494178072344,11.6473843061249,NA,NA,NA,NA,NA,NA,NA,NA
28,21849,FALSE,NA,NA,NA,0,1,21849,0.219897643486265,4.05410050566904,14.3822066843271,NA,NA,NA,NA,NA,NA,NA,NA
29,16720,FALSE,NA,NA,NA,0,1,16720,0.124771806925317,5.18987578561274,36.4050639167447,NA,NA,NA,NA,NA,NA,NA,NA
30,19035,FALSE,NA,NA,NA,0,1,19035,0.146254392191466,4.88017258931579,28.4875267747279,NA,NA,NA,NA,NA,NA,NA,NA
31,32700,FALSE,NA,NA,NA,0,3,2486,0.279802827704881,2.2297977143713,5.73937733886711,15684,0.456412663003625,23.4436703873964,27.9214040018964,14530,0.068289175100573,5.46043863656007,74.5000913964679
32,26971,FALSE,NA,NA,NA,0,2,18210,0.345476526549345,12.3029486574195,23.308584144252,8761,0.0834745812873825,5.06253836401326,55.5851257025387,NA,NA,NA,NA
33,19000,TRUE,1.4259177044,0.425917704399997,0.0065359467124183,5216,1,13784,0.370208225550846,23.2299771414986,39.5184318300576,NA,NA,NA,NA,NA,NA,NA,NA
34,14954,TRUE,1.47714514202805,0.477145142028047,0.006249999,858,1,14096,0.172967502421057,10.0406344470306,48.008619352036,NA,NA,NA,NA,NA,NA,NA,NA
35,13235,FALSE,NA,NA,NA,0,1,13235,0.108436580688984,7.06944158037205,58.1248086943437,NA,NA,NA,NA,NA,NA,NA,NA
36,17159,FALSE,NA,NA,NA,0,1,17159,0.215383857657074,5.83557850547897,21.2582741581229,NA,NA,NA,NA,NA,NA,NA,NA
37,21479,FALSE,NA,NA,NA,0,1,21479,0.177932161269987,3.21456842909082,14.8516901165645,NA,NA,NA,NA,NA,NA,NA,NA
38,26301,FALSE,NA,NA,NA,0,2,9963,0.0502010095539271,4.36748991251804,82.6325515473329,16338,0.180139801414767,13.7103817635799,62.3992933659718,NA,NA,NA,NA
39,26306,FALSE,NA,NA,NA,0,1,26306,0.214314609203651,2.40540324931388,8.81829847709602,NA,NA,NA,NA,NA,NA,NA,NA
40,19069,FALSE,NA,NA,NA,0,1,19069,0.145877323705699,5.30008764278684,31.0324108439523,NA,NA,NA,NA,NA,NA,NA,NA
41,26963,TRUE,2.17657352863464,1.17657352863464,0.0256410246410256,12760,1,14203,0.463601789006136,31.7982244705134,36.7912961581322,NA,NA,NA,NA,NA,NA,NA,NA
42,23969,FALSE,NA,NA,NA,0,2,7499,0.0663996938790531,4.84032478164717,68.0564688461038,16470,0.231293758315363,10.8963915265467,36.2142248857206,NA,NA,NA,NA
43,23312,FALSE,NA,NA,NA,0,2,16482,0.443510807661624,15.0844961873139,18.9270677401712,6830,0.101774958117522,4.00842892068989,35.3767891607686,NA,NA,NA,NA
44,32430,FALSE,NA,NA,NA,0,2,15764,0.10418910397967,4.36470428524367,37.5274333618498,16666,0.431377803952361,15.9863789457527,21.0725026176533,NA,NA,NA,NA
45,17274,FALSE,NA,NA,NA,0,1,17274,0.140753276106529,5.02908679858089,30.7007160002871,NA,NA,NA,NA,NA,NA,NA,NA
46,15050,FALSE,NA,NA,NA,0,1,15050,0.196690049834786,5.78231863362866,23.6158061748486,NA,NA,NA,NA,NA,NA,NA,NA
47,26659,TRUE,2.3028463998804,1.3028463998804,0.00744416773449131,2656,2,9381,0.121053830592638,2.14016802120985,15.5393057363104,14622,0.434975235586447,18.1492354811868,23.5755203125941,NA,NA,NA,NA
48,20910,FALSE,NA,NA,NA,0,2,14200,0.319641140380481,21.1078012484654,44.9281327472023,6710,0.0655615267559105,2.86632834814729,40.8533421656101,NA,NA,NA,NA
49,26084,FALSE,NA,NA,NA,0,2,9169,0.073168106099637,4.65608298801201,58.9793346305822,16915,0.296885989553747,13.7763408498489,32.6264579839939,NA,NA,NA,NA
50,21759,FALSE,NA,NA,NA,0,2,16354,0.376674229242354,12.1514800724762,20.1084387887577,5405,0.0890002857575663,6.54599600342901,67.0042847367933,NA,NA,NA,NA
51,16972,FALSE,NA,NA,NA,0,2,4133,0.107790303893814,1.46622428975388,12.1363376920575,12839,0.253901087179939,19.3094078762229,56.7414987610471,NA,NA,NA,NA
52,20219,FALSE,NA,NA,NA,0,3,6021,0.0659425245896855,5.81949414793227,82.4315120751831,13128,0.41772483194254,25.3449675726961,35.3288675326645,1070,0.297501613120426,3.61302914619423,8.53154078839539
53,23898,FALSE,NA,NA,NA,0,2,8955,0.08678082919269,4.3069671051794,45.3234310512627,14943,0.285121716240199,15.1330579294908,37.9427236316093,NA,NA,NA,NA
54,11319,FALSE,NA,NA,NA,0,1,11319,0.133231879720727,6.51171033349053,42.3633062701933,NA,NA,NA,NA,NA,NA,NA,NA
55,15338,TRUE,1.43524332675387,0.43524332675387,0.0102040806326531,1354,1,13984,0.35442125763282,9.91271246986322,18.0560175551648,NA,NA,NA,NA,NA,NA,NA,NA
56,15869,FALSE,NA,NA,NA,0,1,15869,0.169111743290182,5.31835374628329,26.1304010404107,NA,NA,NA,NA,NA,NA,NA,NA
57,30330,FALSE,NA,NA,NA,0,2,16161,0.133889461247996,2.46847571648271,15.9681935588569,14169,0.456885634440401,15.4470264874107,18.3623676432023,NA,NA,NA,NA
58,26471,FALSE,NA,NA,NA,0,2,13737,0.09928974346977,2.95031752066819,26.7639048911004,12734,0.338033386381973,17.0819637857957,33.4513991125462,NA,NA,NA,NA
59,20938,FALSE,NA,NA,NA,0,2,6884,0.0518044597427134,9.2647646189879,169.576297810797,14054,0.174821380571872,10.8554571313641,51.2391053063306,NA,NA,NA,NA
60,15265,FALSE,NA,NA,NA,0,2,13320,0.476458838866536,12.6870371403944,13.9407344643385,1945,0.169177966630855,2.89297696997185,14.2072224684355,NA,NA,NA,NA
61,20591,FALSE,NA,NA,NA,0,2,4262,0.0728993822675322,12.3117380842689,156.57498909109,16329,0.223022449391089,9.81846658828754,34.2060996161219,NA,NA,NA,NA
62,24705,FALSE,NA,NA,NA,0,2,14142,0.33068240345643,11.3203179428826,22.9128853499384,10563,0.114232179431844,4.67171413320496,36.2249417516836,NA,NA,NA,NA
63,30914,FALSE,NA,NA,NA,0,2,13214,0.0664296368905333,4.1957003518088,58.9643671753211,17700,0.30481374309431,15.7556162220776,35.9337074354938,NA,NA,NA,NA
64,21954,FALSE,NA,NA,NA,0,3,14739,0.340934495983493,12.5140312922418,24.1910585114245,7132,0.0866531968014706,5.19362969284135,54.7421820780777,83,0.289503775983268,2.71757393119011,6.66943292894553
65,18971,TRUE,2.00083496311756,1.00083496311756,0.0319148926170213,4057,1,14914,0.246879256702538,10.4018849561394,31.7316061077635,NA,NA,NA,NA,NA,NA,NA,NA
66,30743,FALSE,NA,NA,NA,0,3,3129,0.241783321638434,2.27556140530349,7.13601169197738,13686,0.0774952729087559,5.47960415547515,65.2292784614931,13928,0.433338052674263,23.5869264435369,30.8438494783438
67,40532,FALSE,NA,NA,NA,0,3,14670,0.464661235479148,34.0944649363458,39.2804205351921,20416,0.0534773612233194,4.21254748923734,74.5599908872525,5446,0.142775230879231,3.11190226171321,18.6839109374647
68,17568,FALSE,NA,NA,NA,0,1,17568,0.217722229092517,4.5941228471416,16.5067214088182,NA,NA,NA,NA,NA,NA,NA,NA
69,15284,FALSE,NA,NA,NA,0,1,15284,0.155883195696314,5.6043061195636,30.3476519765591,NA,NA,NA,NA,NA,NA,NA,NA
70,7607,TRUE,3.16777817260519,2.16777817260519,0.0681818171818182,603,1,7004,0.153024467561459,9.06700606259002,50.1849959674021,NA,NA,NA,NA,NA,NA,NA,NA
71,14546,TRUE,1.54349153322457,0.543491533224574,0.0136986291369863,381,1,14165,0.30577538392911,7.16776998871345,16.2735217745739,NA,NA,NA,NA,NA,NA,NA,NA
72,21542,TRUE,1.57689387892926,0.576893878929256,0.00759493570886076,613,1,20929,0.354879874661437,3.29407765779403,5.98815526943706,NA,NA,NA,NA,NA,NA,NA,NA
73,22362,FALSE,NA,NA,NA,0,1,22362,0.23128700419456,2.82143791069587,9.37742263713873,NA,NA,NA,NA,NA,NA,NA,NA
74,21705,FALSE,NA,NA,NA,0,2,6853,0.0935462817460528,4.3722120082558,42.3662785725341,14852,0.428347020484531,14.5571149366174,19.4272814533724,NA,NA,NA,NA
75,17823,FALSE,NA,NA,NA,0,1,17823,0.177571730806096,4.28379929935339,19.8405322026647,NA,NA,NA,NA,NA,NA,NA,NA
76,20410,TRUE,2.0428106870233,1.0428106870233,0.031249999,2533,1,17877,0.238856388147861,5.0306764664915,16.0308346176388,NA,NA,NA,NA,NA,NA,NA,NA
77,21101,FALSE,NA,NA,NA,0,2,3928,0.0730927541227122,8.85694158591306,112.317061120888,17173,0.230404805514242,10.389966207633,34.7044326893151,NA,NA,NA,NA
78,20903,FALSE,NA,NA,NA,0,2,4325,0.053537362626814,9.13437756041515,161.482498434896,16578,0.172937182265542,10.0096132110861,47.8704394181774,NA,NA,NA,NA
79,19119,FALSE,NA,NA,NA,0,2,4574,0.0653537492832132,4.55876570255695,65.1964626134398,14545,0.268050597865439,15.6107842354432,42.6274154169961,NA,NA,NA,NA
80,13122,FALSE,NA,NA,NA,0,1,13122,0.139927104473064,7.03114554734195,43.2174862228912,NA,NA,NA,NA,NA,NA,NA,NA
81,19720,FALSE,NA,NA,NA,0,2,4356,0.0674969155013558,7.77374404255415,107.398097289929,15364,0.221955733200338,12.0051415328482,42.0828577260507,NA,NA,NA,NA
82,25982,FALSE,NA,NA,NA,0,2,16848,0.312742885612504,13.1449700657739,28.8862660406193,9134,0.0839271975553415,3.81790371167531,41.6727575147738,NA,NA,NA,NA
83,16009,TRUE,1.50386531303602,0.503865313036018,0.0185185175185185,1952,1,14057,0.464419312054628,8.87243583426143,10.2319287000407,NA,NA,NA,NA,NA,NA,NA,NA
84,15359,FALSE,NA,NA,NA,0,1,15359,0.0889282646840062,5.34946931922956,54.8054132508748,NA,NA,NA,NA,NA,NA,NA,NA
85,17897,FALSE,NA,NA,NA,0,2,4641,0.096582159490329,1.87100735346976,17.5011765295911,13256,0.386601349445749,21.0372953782705,33.3786951722814,NA,NA,NA,NA
86,29457,FALSE,NA,NA,NA,0,2,12864,0.109861363323066,2.88294348256556,23.3587068607656,16593,0.452512570733595,17.1963190443395,20.8055402553072,NA,NA,NA,NA
87,14523,TRUE,1.44656126497724,0.446561264977242,0.0111111101111111,1065,1,13458,0.347516275757824,11.7263114956199,22.0168893661196,NA,NA,NA,NA,NA,NA,NA,NA
88,22238,TRUE,2.02882241708081,1.02882241708081,0.0236220462440945,16,2,14261,0.413789125580134,20.5759298169828,29.1497119290039,7961,0.104684323029854,2.16609757673445,18.5256116882404,NA,NA,NA,NA
89,18277,FALSE,NA,NA,NA,0,3,3893,0.0944263735866536,5.63692506387134,54.0595860882638,14127,0.394827629095463,15.8788358888606,24.3382986749957,257,0.366267289715632,4.5785016232904,7.92193658631636
90,19325,FALSE,NA,NA,NA,0,1,19325,0.218263269840563,4.508581423493,16.1480385693553,NA,NA,NA,NA,NA,NA,NA,NA
91,25630,FALSE,NA,NA,NA,0,2,12960,0.0969362668652429,2.59190510378569,24.1463342322603,12670,0.387779869737436,19.0527529154607,30.0801557328433,NA,NA,NA,NA
92,10153,FALSE,NA,NA,NA,0,1,10153,0.11991648517135,6.84835010056661,50.2609797032624,NA,NA,NA,NA,NA,NA,NA,NA
93,42709,FALSE,NA,NA,NA,0,2,14543,0.428538509540644,23.1240106982246,30.8361590027705,28166,0.0904954615074178,1.87197146442841,18.8138334725956,NA,NA,NA,NA
94,14761,FALSE,NA,NA,NA,0,2,1988,0.134135586026555,1.71264080847808,11.0553416427934,12773,0.30312642506279,19.2137047656759,44.1714150294588,NA,NA,NA,NA
95,14545,TRUE,1.66678069507392,0.666780695073923,0.014018690588785,1158,1,13387,0.22662348895627,13.6037242490705,46.4241409635047,NA,NA,NA,NA,NA,NA,NA,NA
96,14909,TRUE,1.62433776743968,0.624337767439685,0.0144927526231884,770,1,14139,0.231061657728736,10.5770912892473,35.1989643022204,NA,NA,NA,NA,NA,NA,NA,NA
97,18340,FALSE,NA,NA,NA,0,2,12349,0.422221531729061,20.3754131775223,27.8822232676914,5991,0.217854142745369,1.49155601563349,5.3550248978029,NA,NA,NA,NA
98,27328,FALSE,NA,NA,NA,0,2,11281,0.0857709092535891,2.42174175379216,25.8132597737313,16047,0.428179388803604,15.4713751867675,20.6615531870078,NA,NA,NA,NA
99,19630,FALSE,NA,NA,NA,0,1,19630,0.161002470845798,4.07601615590377,21.2404658489446,NA,NA,NA,NA,NA,NA,NA,NA
100,15261,TRUE,1.45528458333137,0.455284583331368,0.00380710559898477,753,1,14508,0.132505193812557,8.44820437855675,55.3093294620234,NA,NA,NA,NA,NA,NA,NA,NA
