"Sample","Score_1A"
"P1-noXY",0.230251681702211
"P10-noXY",0.952650156919844
"P11-noXY",0.741477910184768
"P12-noXY",0.98262288109865
"P13-noXY",0.985039391121828
"P14-noXY",0.978098659815732
"P15-noXY",0.985468989345246
"P16-noXY",0.984351678676904
"P17-noXY",0.998953924721572
"P18-noXY",0.892750082572456
"P19-noXY",0.985833232807926
"P2-noXY",0.96756702722516
"P20-noXY",0.202948251327034
"P21-noXY",0.689462658432312
"P23-noXY",0.972588296907488
"P24-noXY",0.540083397219423
"P25-noXY",0.9820965652843
"P3-noXY",0.640021382546984
"P4-noXY",0.202421878254972
"P5-noXY",0.422867195887956
"P8-noXY",0.798754965241532
"P9-noXY",0.983495326028206
"S10-noXY",0.961511348821222
"S2-noXY",0.625073065489996
"S3-noXY",0.704468845028896
"S4-noXY",0.272450614529662
"S5-noXY",0.391664263587445
"S6-noXY",0.974383141472936
"S7-noXY",0.927772463790606
"S8-noXY",0.914789941504132
"S9-noXY",0.766801789137534
"T0-noXY",0.730348518812098
"T10-noXY",0.978378304180224
"T11-noXY",0.624905576505698
"T12-noXY",0.993167938496918
"T13-noXY",0.987203655070626
"T14-noXY",0.51408158130711
"T15-noXY",0.628201533723622
"T16-noXY",0.982498501385562
"T2-noXY",0.592515127744991
"T3-noXY",0.607625013680662
"T4-noXY",0.948604373682756
"T5-noXY",0.981541622057558
"T6-noXY",0.988366842481774
"T7-noXY",0.97551335573895
"T9-noXY",0.6310482303123
