"Simulation","Mutation_count_in_fitting","Tail","Tail_power","Tail_mutcount_observed","Tail_mutcount_predicted","Cluster_count","Cluster_mutcount_observed_1","Cluster_mutcount_predicted_1","Cluster_frequency_1","Cluster_mutcount_observed_2","Cluster_mutcount_predicted_2","Cluster_frequency_2"
1,36383,TRUE,1.87,23286.8032360562,131474342.675443,1,13096.1967639438,13154.3302495274,0.305,NA,NA,NA
2,23700,TRUE,1.3,14084.9642505793,10205945.5161452,1,9615.03574942075,9642.57117789514,0.365,NA,NA,NA
3,15049,TRUE,2.79,734.053937958713,224798203.803219,2,13714.3445434976,13945.9277220851,0.285,600.601518543674,902.432487246936,0.12
4,36246,TRUE,1.7,29977.3336443989,156330326.308642,1,6268.6663556011,6283.68196120178,0.5,NA,NA,NA
5,24031,TRUE,1.82,8330.27257756994,44236506.5587048,1,15700.7274224301,16465.9022298336,0.255,NA,NA,NA
6,24003,TRUE,2.15,10389.5355202279,125529532.429786,1,13613.4644797721,13616.3440508556,0.455,NA,NA,NA
7,16242,TRUE,1.7,4042.26429996984,19103140.3981974,1,12199.7357000302,12820.4722297925,0.3,NA,NA,NA
8,28279,TRUE,1.37,16234.4363246796,19091218.2247041,1,12044.5636753204,12065.1538176342,0.435,NA,NA,NA
9,16283,TRUE,2.77,1019.84807142562,513308555.533606,2,13178.1498646335,13369.8860829917,0.455,2085.00206394086,2873.54464283179,0.175
10,40191,TRUE,1.34,25813.0113056803,22135550.3018279,1,14377.9886943197,14392.4694152043,0.485,NA,NA,NA
11,18915,TRUE,2.02,4810.18296813067,50338602.3202343,1,14104.8170318693,14139.8955319386,0.29,NA,NA,NA
12,23593,TRUE,2.18,8071.92730239249,206870537.711849,1,15521.0726976075,15662.2629038226,0.285,NA,NA,NA
13,13010,TRUE,1.54,318.382603503385,791506.78454963,2,12507.7569292612,13849.3399112181,0.23,183.860467235444,9954.09905939064,0.035
14,32681,TRUE,0.99,23178.4860221874,9211657.98065336,1,9502.51397781262,9535.83626582317,0.445,NA,NA,NA
15,22729,TRUE,1.66,6001.69714142984,22429353.282869,1,16727.3028585702,16890.493000408,0.33,NA,NA,NA
16,15714,TRUE,3.94,175.321449346903,3665154094.24961,2,13472.7687213093,14373.9324914343,0.185,2065.90982934383,5717.20091172022,0.075
17,31444,TRUE,1.64,15998.7185393749,48923228.6619326,1,15445.2814606251,15461.5361599357,0.47,NA,NA,NA
18,3364,TRUE,3.9,37.9415793247074,1026431180.748,1,3326.05842067529,8826.89748869484,0.085,NA,NA,NA
19,21714,TRUE,2.51,3471.76637703518,454512522.497711,1,18242.2336229648,18416.1937930081,0.385,NA,NA,NA
20,14004,TRUE,2.45,531.019815928399,48000519.2292513,2,12343.755391152,12665.1290302794,0.265,1129.22479291963,2065.57427673094,0.11
21,18359,TRUE,1.68,7440.62097382865,26456443.9561438,1,10918.3790261714,11075.0539268683,0.32,NA,NA,NA
22,14223,TRUE,3.41,604.78271689997,3381026458.47682,1,13618.2172831,20579.0725994001,0.14,NA,NA,NA
23,15494,TRUE,1.09,3769.56146458077,1878340.93918165,1,11724.4385354192,11833.2535986616,0.36,NA,NA,NA
24,28937,TRUE,1.99,9924.24525149594,90062634.2793501,1,19012.7547485041,19033.2142323598,0.405,NA,NA,NA
25,5811,TRUE,4.07,241.081791302152,22086631682.2325,1,5569.91820869785,10514.0903413449,0.125,NA,NA,NA
